nform,nper_enc,dpto_cod,fecha,codigo,a1,a2,a3,a4,a4a,a4b,a5,a5a,a6,a7,a8,a91,a92,a93,a94,a95,a96,a97,a98,a99,a910,a911,a912,a913,a914,a915,a916,a917,a918,a919,b1,b2,b3a,b3b,b4,b5,b6,b7,b8,b9a,b9b,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b20a,b21,gra1,grb1,grc1,grd1,gre1,grh1,grf1,gra2,grb2,grc2,grd2,gre2,grh2,grf2,gra3,grb3,grc3,grd3,gre3,grh3,grf3,gra4,grb4,grc4,grd4,gre4,grh4,grf4,gra5,grb5,grc5,grd5,gre5,grh5,grf5,aca1,aca2,acb1,acb2,acc1,acc2,acd1,acd2,ace1,ace2,acf1,acf2,acg1,acg2,ach1,ach2,aci1,aci2,acj1,acj2,ack1,ack2,acl1,acl2,acm1,acm2,acn1,acn2,aco1,aco2,b23,b24,b25,b26,b27,b28,sem,men,b301,b302,b303,b304,b305,b306,b307,b308,esp1,b31a,b31b,b31c,b32a,b32b,b32c,b32d,b32e,b32f,b32g,b32h,b32i,b32j,b32k,b32l,b32m,b32n,b32o,b32p,b32q,b32r,b32s,b32t,b32u,b32v,b32w,b32x,b32y,b32z,b32ll,b33a,b33,b34,b35,b36,b37,c1,c1_cod,c2,c3,c4,c5,c6,c7,sexent,c8,c9,c10a,c10b,c10c,c11a,c11b,c12,c13,c14,man1,maa1,mab1,mac1,mad1,mae1,maf1,man2,maa2,mab2,mac2,mad2,mae2,maf2,man3,maa3,mab3,mac3,mad3,mae3,maf3,man4,maa4,mab4,mac4,mad4,mae4,maf4,man5,maa5,mab5,mac5,mad5,mae5,maf5,c15,c16,c17,c18a,c18b,c18c,da1,db1,dc1,dd1,de1,df1,dha1,dhb1,dhc1,dhd1,dg1,dg1_cod,da2,db2,dc2,dd2,de2,df2,dg2,dg2_cod,dha2,dhb2,dhc2,dhd2,e1a,e1b,e1c,e1d,e1e,e1f,e1g,e1h,e1i,e1j,e2,esp2,e3,e4,e5,e6,e7,e8a,e8b,e8c,e9,e10,e11,e12,e13a,e13b,e13c,e13d,e13e,e13f,e13g,e14a,e14b,e14c,e14d,e14e,e14f,e14g,e14h,e14i,e14j,e14k,e14l,e14m,e14n,e14o,e14p,e14q,e14r,e14s,e14t,e14u,e14v,e14w,e14x,e15a,e15b,e16,e17,e18a,e18b,e19,e20,e2110,e212,e213,e214,e215,e216,e217,e218,e219,e22,e23a,e23b,e23c,e23d,e23e,e24,e25a,e25b,e25c,e25d,e26a,e26b,e26c,e26d,e26e,e27a,e27b,e27c,e27d,e27e,e27f,e27g,e27h,e27i,e27j,e27k,e27l,e28,e29a,e29b,e29c,e30a,e30b,e30c,e3a1,e3a2,e3a3,e3b1,e3b2,e3b3,e3e1,e3e2,e3e3,e3g1,e3g2,e3g3,e3d1,e3d2,e3d3,e3c1,e3c2,e3c3,h14,h15,obs1,obs2,obs3,ola,b14a,b14b,b14c,b14d,b14e,b14f,b14g,b14h,b14i,b14j,b14k,b14l,b14m,b14n,b14o,b14p,b14q,b14r,b14s,b14t,b14u,pesof_09antrop,tallaf_09antrop,__09_zteantrop,__09_zimceantrop,esc_pr
1,3,1,07 Oct 11,10,2,1,1995,2,,,1,,5,1,2,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,2,2,1,2,2,0,0,1,,1,4,3,1,,5,2,2,,,5,1,2,2,,,,1,maria,5,3,2,14,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,2,,1,10,2,,1,10,2,,2,,2,,2,,2,,2,,1,16,2,,1,2,2,,1,4,2,,2,,,,1,2,2,2,2,2,2,2,,3,1,5,3,1,1,1,1,1,3,1,3,1,3,1,1,3,3,1,3,1,1,3,2,1,2,2,3,2,3,1,,,,,,montevideo,1,18,1,17,4,4,4,2,,1,1,5,2010,2,,ninguno,2,1,Sin nombre,3,5,2,42,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,30000,1,2,2,1,2,,36,9,2,8,,,,montevideo,1,2,,,,,,0,,,,,,4,4,4,4,4,4,4,4,3,4,2,,1,2,1,1,1,7,6,7,1,1,1,1,1,2,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,3,1,4,1,10,1,10,1,10,10,10,10,10,5,5,6,3,2,2,4,1,7,7,1,10,,,9,4,1,4,2,4,4,4,5,17,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,3,4,4,1,4,1,4,,,6,,,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,148,-.2,-.87,1787
2,3,1,15 Oct 11,10,1,1,1994,7,,,1,,3,1,2,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1,2,2,1,1,1,1,0,1,,1,ninguna,0,,,4,3,2,,,4,2,2,2,,,,2,nadia,3,5,2,15,2,2,cati,3,5,2,15,3,2,,,,,,,,,,,,,,,,,,,,,,1,5,2,,1,10,2,,1,15,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,1,2,2,2,2,2,2,2,,3,3,5,3,3,1,3,3,1,3,1,3,1,3,1,1,1,3,1,3,1,1,3,1,1,3,1,3,3,3,1,,,,,,montevideo,1,34,1,17,2,2,2,2,,1,1,3,2011,2,,7,2,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,20000,1,1,1,1,2,,47,11,2,8,,,,no sabe,ns_nc,1,1,60,,9,2,no sabe,ns_nc,8,,,,3,3,3,3,3,3,3,3,3,3,1,,5,2,2,1,1,4,6,4,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,10,10,10,10,10,4,10,10,10,3,3,1,3,2,2,4,3,6,4,4,10,ns_nc,ns_nc,10,3,3,4,9,9,4,4,4,16,1,1,1,1,2,2,2,2,1,4,3,3,4,4,4,4,3,4,4,3,3,4,,,,,,,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,151,-.85000002,-1.51,1787
3,3,1,15 Oct 11,10,2,1,1998,7,,,1,,3,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,0,1,,1,ninguna,0,,,4,2,2,,,4,1,2,2,,,,1,eroi,3,5,1,13,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,5,1,6,2,,1,16,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,2,2,1,2,2,2,2,,2,5,5,3,3,1,3,3,1,3,3,3,1,3,1,1,3,3,2,2,1,1,3,3,1,3,3,3,3,3,1,,,,,,rivera,13,15,2,17,4,4,4,2,,2,2,,,2,,ninguno,2,1,Sin nombre,5,5,2,72,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,30000,2,2,2,1,2,,66,11,2,1,5,,,rivera,13,1,2,,46,9,2,rivera,13,8,,,,4,4,3,3,4,3,4,4,4,4,2,,5,2,2,1,1,4,7,4,2,2,2,ns_nc,2,2,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,1,5,10,1,10,1,10,10,10,1,10,10,10,3,3,1,3,2,2,4,1,10,10,2,10,10,10,10,1,1,4,9,9,5,5,5,4,1,1,1,1,2,2,2,2,2,4,4,3,4,4,4,4,4,4,4,1,4,4,,,,,,,1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,1,2,2,6800,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,164,1.23,-1.1799999,1787
4,3,1,12 Oct 11,17,2,1,1995,7,,,1,,1,3,1,2,1,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,3,1,3,0,1,,1,ninguna,15,2,no tiene dinero para ir,2,1,1,3,20,4,1,2,2,,,,4,lucia,3,5,2,16,1,2,lorena,2,2,2,14,ns_nc,2,micaela,2,2,2,16,ns_nc,2,malami,2,2,2,15,ns_nc,2,,,,,,,,2,,2,,1,21,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,14,2,,2,,,,2,1,2,2,2,2,2,2,,3,6,5,1,3,3,1,2,1,1,3,2,3,1,2,3,2,2,3,3,1,1,1,2,1,3,3,3,3,3,2,1,3,3,0,1,montevideo,1,nunca_trabajó,,20,2,2,2,2,,2,1,,,2,,20,2,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,20000,2,1,1,1,2,,40,11,ns_nc,8,,,,montevideo,1,1,1,60,,ns_nc,ns_nc,montevideo,1,8,,,,5,5,5,,4,5,,,5,5,1,,1,2,ns_nc,2,2,1,5,3,ns_nc,1,1,6,1,1,1,1,1,1,1,10,10,1,10,10,10,10,1,10,10,10,5,10,10,5,10,10,10,10,10,10,10,10,10,1,1,5,ns_nc,1,4,4,2,1,8,1,1,9,1,3,8,5,4,9,9,9,9,9,5,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,71,163,.36000001,1.83,1787
5,3,1,26 Dec 11,0,2,1,1994,7,,,1,,2,1,2,1,2,2,1,1,1,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,0,1,,1,ninguna,0,,,2,4,1,1,5,4,1,1,2,,,,2,Sin nombre,3,5,2,14,ns_nc,2,Sin nombre,3,5,2,17,ns_nc,2,,,,,,,,,,,,,,,,,,,,,,1,ns_nc,1,3,1,3,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,,2,,,,1,1,1,2,2,2,2,2,,4,1,4,3,2,1,3,2,1,2,2,3,2,3,1,1,3,2,2,3,1,2,2,2,1,2,3,2,2,2,1,,,,,,montevideo,1,13,2,16,5,3,5,2,,1,1,2,2010,1,ns_nc,ninguno,2,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,ns_nc,30000,2,2,2,1,1,80,,5,ns_nc,3,5,,,montevideo,1,2,,,,,,0,,,,,,4,3,3,,4,5,4,,2,4,1,,2,2,,1,1,2,,3,1,1,1,3,1,3,2,1,1,1,1,10,10,3,10,10,10,10,5,10,10,10,1,10,10,5,5,5,10,10,10,10,10,10,10,5,4,5,ns_nc,2,3,2,1,5,10,3,3,10,5,10,5,1,4,9,3,4,4,4,15,1,1,1,1,2,2,2,2,1,4,4,4,4,4,3,4,3,4,4,1,4,4,,,,,,,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,1,13000,0,,,,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,156,-.5,2.1900001,1787
6,3,1,16 Nov 11,1,1,3,2005,2,,,1,,1,1,1,1,1,2,2,1,1,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,2,1,1,,1,1,5,2,Ns_Nc,3,4,2,,,4,2,1,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,2,,1,20,2,,2,,2,,1,2,2,,1,2,2,,2,,2,,2,,2,,2,,1,1,2,,2,,,,1,1,2,2,2,2,2,2,,3,5,5,3,3,1,3,3,3,3,3,2,3,1,3,2,3,3,1,3,1,1,3,1,1,3,1,2,3,1,1,,,,,,montevideo,1,20,2,19,3,3,6,2,,1,1,6,2008,2,,ninguno,2,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,10000,2,1,2,1,1,67,,11,2,1,,,,artigas,2,1,2,,52,10,6,artigas,2,1,5,,,5,5,3,4,4,4,,4,4,4,7,,3,2,1,1,1,,,,1,1,1,2,1,1,2,1,1,1,1,10,10,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,2,5,ns_nc,1,2,2,1,1,6,ns_nc,10,10,10,10,5,4,4,9,9,4,4,4,15,1,1,1,1,2,2,2,2,ns_nc,4,4,4,4,4,4,4,4,4,4,1,3,4,,,,,,,2,1,2,2,1,2,2,9,2,2,1,2,2,1,2,2,9,2,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,163,1.77,2.75,1787
8,2,1,09 Oct 11,10,1,3,2000,7,,,1,,2,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,1,2,2,1,1,1,1,2,0,1,,1,ninguna,0,,,2,3,2,,,4,1,2,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,1,10,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,1,2,2,2,2,2,2,,3,1,5,2,3,1,1,3,1,1,3,1,3,3,1,1,2,3,1,3,3,1,1,2,1,3,1,3,3,3,1,,,,,,montevideo,1,11,2,20,5,5,6,1,2,,,,,2,,ninguno,2,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,30000,2,2,2,1,1,73,,11,2,1,3,,,san jose,16,1,2,,65,7,2,montevideo,1,8,,,,4,4,3,3,3,3,2,3,3,4,1,,5,2,2,1,1,5,4,5,1,1,1,3,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,10,10,10,10,10,10,10,10,10,4,3,4,2,4,2,4,1,9,3,3,10,,,10,1,1,4,9,9,4,4,4,4,1,1,1,1,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,2,3,4,,,,,,,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,151,.49000001,1.15,1787
9,3,1,22 Sep 11,15,2,1,1999,2,,,1,,5,1,2,1,2,1,1,1,1,2,1,2,2,1,1,2,1,1,1,2,1,1,2,1,1,0,1,,1,4,0,,,1,5,2,,,5,2,1,2,,,,4,michelle,3,5,1,12,3,2,nico,2,2,1,12,3,2,fernando,2,2,1,11,3,2,martin,3,5,1,12,2,2,,,,,,,,1,10,2,,1,10,2,,1,10,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,1,4,2,,2,,,,1,1,2,2,2,1,1,2,,3,1,1,1,3,1,3,3,1,2,1,3,3,3,3,3,3,3,3,3,3,2,1,1,1,3,3,1,3,2,1,,,,,,monteivdeo,1,36,1,16,8,8,2,2,,1,1,5,2010,2,,6,2,1,rosa,4,5,2,56,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,20000,2,2,2,1,1,82,,11,2,8,,,,cerro largo,4,1,2,,82,10,6,cerro largo,4,3,5,,,4,4,4,4,4,4,4,4,3,4,3,,5,2,1,1,1,9,9,9,1,1,1,5,3,3,3,1,1,1,1,5,10,1,10,10,10,10,10,10,10,10,1,1,10,1,10,10,10,10,10,1,10,10,10,5,4,5,3,1,1,1,1,10,9,10,10,10,2,10,10,10,4,3,4,4,4,4,9,1,1,1,1,2,2,1,2,2,4,4,4,4,4,4,4,4,4,4,1,4,4,,,,,,,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2,0,30000,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,143,-.86000001,.25999999,625
10,3,1,04 Oct 11,15,1,1,2001,4,,,1,,2,1,2,1,2,2,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,2,0,0,1,,1,3,0,,,4,3,2,,,5,1,1,2,,,,5,stefani,3,5,2,16,4,2,monica,3,5,2,14,3,2,melanie,1,5,2,14,4,2,sofia,1,5,2,14,4,2,fernando,1,5,1,17,1,2,1,15,2,,1,10,2,,1,10,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,1,5,2,,2,,,,1,1,2,2,2,2,1,2,,3,1,5,2,2,1,3,1,1,3,1,3,3,3,1,1,3,3,3,3,1,1,1,2,1,3,1,1,2,2,1,,,,,,montevideo,1,13,2,18,3,3,3,2,,1,1,20,2011,2,,ninguno,1,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,30000,2,2,2,1,1,52,,11,2,7,,,,montevideo,1,1,1,64,,10,6,rivera,13,8,,,,4,5,3,3,3,3,4,4,3,5,7,,4,2,1,2,2,5,5,5,1,1,1,3,3,3,1,1,1,1,1,10,10,1,10,10,10,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,1,5,3,1,1,4,1,1,5,5,5,10,10,10,1,1,4,3,3,3,4,5,9,1,1,1,1,2,2,2,1,1,4,4,4,4,4,4,4,4,4,4,1,4,4,,,,,,,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,25000,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,149,.050000001,1.35,625
11,3,1,22 Sep 11,15,1,1,2004,4,,,1,,4,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,1,2,2,1,1,2,1,3,0,1,,1,1,10,1,,3,3,2,,,3,2,2,2,,,,5,mariela,1,5,1,14,3,2,bruno,1,5,1,15,4,2,hugo,3,5,1,18,1,1,chela,1,5,1,14,3,2,esteban,1,5,1,15,3,2,2,,1,10,1,10,2,,1,5,2,,2,,2,,2,,1,4,1,2,2,,1,10,2,,2,,1,3,1,2,,ns_nc,ns_nc,ns_nc,1,1,1,2,2,1,1,2,,2,1,5,3,2,2,3,3,1,3,2,3,3,3,2,2,3,3,3,3,2,1,3,2,1,3,1,3,1,2,2,1,2,8,0,2,montevideo,1,17,ns_nc,17,6,6,8,2,,2,1,2,2007,2,,5,3,2,ines,3,3,2,24,2,4,melisa,3,3,2,28,2,4,,,,,,,,,,,,,,,,,,,,,,5,4,17000,1,2,1,1,1,57,,9,2,8,,,,montevideo,1,1,1,63,,ns_nc,2,no sabe,ns_nc,8,,,,5,4,2,4,4,4,4,4,3,4,2,,5,2,1,1,1,2,2,1,1,1,1,5,1,2,1,3,1,1,3,5,10,1,10,10,10,10,10,10,10,10,1,3,10,1,10,1,10,10,10,10,10,10,10,1,2,5,2,1,1,4,2,1,10,5,10,8,8,10,3,1,4,3,3,4,4,4,9,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,4,2,4,4,1,4,2,6,,,6,,,2,1,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,4000,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,149,-.56,-.41,625
