nform,nper,ola,f10,f11,f12,f2,f3,f4,f5,f6,g7a,g2a,g2b,g4,g6,h1,h2,h3,h4,h5,h6,h7,h12,h11,h10a,h10,f1,f7,f8,f9,g1,g3,g5,g7,g8a,g8b,h8,h9a,h9b1,h9b2,h9b3,h9b4,h9b5,h9b6,h9b7,h9b8,h13,h11a
1,1,3,hijo/a de ambos,13,mujer,soltero/a,asiste actualmente,secundaria,no,2,si,,,,,,,,,,,,,,si,,1,,2,1,,,,,,,,,,,,,,,,,,1
1,2,3,jefe,38,hombre,soltero/a,no asiste pero asistió,primario común,si,6,si,40,0,asalariado privado,si,16000,,,,,,,5000,,si,,1,18,2,1,1,0,9,,2,,1,900,1,4,5,,,,,,,1
1,3,3,cónyuge,34,mujer,casado/a,no asiste pero asistió,primario común,si,6,si,25,0,asalariado privado,si,5800,,,,,,,,,si,,3,13,2,1,1,0,9,,2,,1,,,,,,,,,,,1
1,4,3,hijo/a de ambos,15,mujer,casado/a,asiste actualmente,secundaria,no,3,si,,,,,,,,,,,,,,si,,1,,2,1,3,,,,2,,,,,,,,,,,,,1
1,5,3,hijo/a de ambos,8,mujer,soltero/a,asiste actualmente,primario común,no,2,si,,,,,,,,,,,,,,si,,1,,2,1,,,,,,,,,,,,,,,,,,1
1,13,3,hijo/a de ambos,0,hombre,soltero/a,nunca asistió,,,,si,,,,,,,,,,,,,,si,,1,,2,1,,,,,,,,,,,,,,,,,,1
2,1,3,hijo/a de ambos,15,mujer,soltero/a,asiste actualmente,ens. técnica,no,1,si,,,,,,,,,,,,,,si,,3,,1,2,3,,,,2,,,,,,,,,,,,,1
2,3,3,cónyuge,34,mujer,unido/a,no asiste pero asistió,primario especial,si,6,si,30,0,asalariado privado,si,5700,,,,,,,,,si,,3,14,1,2,1,0,5,,2,,3,1683,,,,,,,,,,1
2,4,3,hijo/a de ambos,17,hombre,soltero/a,asiste actualmente,primario especial,no,2,si,,,,,,,,,,,,,,si,,3,,1,2,3,,,,2,,,,,,,,,,,,,1
2,13,3,jefe,39,hombre,unido/a,no asiste pero asistió,primario especial,no,3,si,40,0,trab. cuenta propia con local,no,3000,,,,,,,,,si,,3,13,1,2,1,0,5,,2,,,,,,,,,,,,,1
3,1,3,hijo/a de ambos,14,hombre,soltero/a,asiste actualmente,secundaria,no,2,si,,,,,,,,,,,,,,si,,1,,1,2,3,,,,2,,,,,,,,,,,,,1
3,2,3,jefe,51,hombre,unido/a,no asiste pero asistió,primario común,si,6,si,40,0,trab. cuenta propia sin local,no,6000,,,,,,,,,si,,3,18,1,2,1,0,9,,2,,,,,,,,,,,,,1
3,3,3,cónyuge,40,mujer,unido/a,no asiste pero asistió,primario común,si,6,si,,,,,,,,,,,,,,si,,1,12,1,2,6,,,,2,,,,,,,,,,,,,1
3,4,3,hijo/a de ambos,20,mujer,soltero/a,no asiste pero asistió,ens. técnica,no,2,si,30,0,asalariado privado,si,5500,,,,,,,,,si,,1,16,1,2,1,0,9,,2,,3,866,1,,,,,,,,,1
3,5,3,hijo/a de ambos,17,hombre,soltero/a,asiste actualmente,ens. técnica,no,3,si,,,,,,,,,,,,,,si,,1,,1,2,3,,,,2,,,,,,,,,,,,,1
3,6,3,madre/padre,72,mujer,sep./divorciado/a,no asiste pero asistió,secundaria,no,2,si,20,0,trab. cuenta propia con local,si,6000,,3000,,,,,,,si,,1,16,1,2,1,0,5,,2,,,,,,,,,,,,,1
4,1,3,hijo/a sólo del jefe,16,mujer,soltero/a,no asiste pero asistió,ens. técnica,no,6,si,,,,,,,,,,,,,,si,,3,99,1,2,3,,,,2,,,,,,,,,,,,,1
4,3,3,cónyuge,36,mujer,soltero/a,no asiste pero asistió,primario común,si,6,si,,,,,,,,,,4000,,,,si,,3,14,1,2,7,,,,2,,3,1317,1,4,,,,,,,,1
4,4,3,hijo/a sólo del jefe,10,mujer,soltero/a,asiste actualmente,primario común,no,3,si,,,,,,,,,,,,,,si,,3,,1,2,,,,,,,,,,,,,,,,,,1
5,1,3,hijo/a de ambos,16,mujer,soltero/a,asiste actualmente,secundaria,no,2,si,,,,,,,,,,,,,,si,,3,,1,9,3,,,,2,,,,,,,,,,,,,1
5,2,3,cónyuge,59,hombre,unido/a,no asiste pero asistió,primario común,si,6,si,0,0,trab. cuenta propia sin local,no,2500,,,,,,,,,si,,1,12,1,9,1,0,9,,2,,,,,,,,,,,,,1
5,3,3,jefe,55,mujer,unido/a,no asiste pero asistió,primario común,si,6,si,,,,,,,4700,,,,,999999,,si,,5,12,1,9,6,,,,2,,3,2102,1,13,,,,,,,,1
5,13,3,nieto/a,8,mujer,soltero/a,asiste actualmente,primario común,no,2,si,,,,,,,,,,,,,,si,,3,,1,9,,,,,,,,,,,,,,,,,,1
6,1,3,hijo/a de ambos,14,hombre,soltero/a,asiste actualmente,secundaria,no,1,si,,,,,,,,,,,,,,si,,4,,1,2,3,,,,2,,,,,,,,,,,,,1
6,2,3,jefe,41,hombre,casado/a,no asiste pero asistió,preescolar,,,si,10,0,trab. cuenta propia sin local,no,1000,,,,,,,1000,,si,,4,11,1,2,1,0,9,,2,,3,1600,4,13,,,,,,,,1
6,3,3,cónyuge,36,mujer,casado/a,no asiste pero asistió,preescolar,,,si,10,0,trab. cuenta propia sin local,no,2000,,,,,,,,,si,,4,13,1,2,1,0,9,,2,,,,,,,,,,,,,1
6,4,3,hijo/a de ambos,16,mujer,soltero/a,asiste actualmente,secundaria,no,1,si,,,,,,,,,,,,,,si,,4,,1,2,3,,,,2,,,,,,,,,,,,,1
6,13,3,hijo/a de ambos,3,hombre,soltero/a,nunca asistió,,,,si,,,,,,,,,,,,,,si,,4,,1,2,,,,,,,,,,,,,,,,,,1
8,1,3,hijo/a de ambos,13,hombre,soltero/a,asiste actualmente,primario común,no,5,si,,,,,,,,,,,,,,si,,3,,1,1,,,,,,,,,,,,,,,,,,1
8,2,3,jefe,38,hombre,unido/a,no asiste pero asistió,primario común,si,6,si,44,0,asalariado privado,si,18000,,,,,,,,,si,,3,11,1,1,1,0,3,,2,,3,,,,,,,,,,,1
8,3,3,cónyuge,32,mujer,unido/a,no asiste pero asistió,primario común,si,6,no,,,,,,,,,,,,,,si,,3,12,1,1,2,,,0,2,,,,,,,,,,,,,1
8,4,3,hijo/a de ambos,16,hombre,soltero/a,no asiste pero asistió,primario común,no,0,si,,,,,,,,,,,,,,si,,3,99,1,1,3,,,,2,,,,,,,,,,,,,1
8,5,3,hijo/a de ambos,13,hombre,soltero/a,asiste actualmente,primario común,no,5,si,,,,,,,,,,,,,,si,,3,,1,1,,,,,,,,,,,,,,,,,,1
8,6,3,hijo/a de ambos,8,hombre,soltero/a,asiste actualmente,primario común,no,2,si,,,,,,,,,,,,,,si,,3,,1,1,,,,,,,,,,,,,,,,,,1
8,13,3,hijo/a de ambos,1,mujer,soltero/a,nunca asistió,,,,si,,,,,,,,,,,,,,si,,3,,1,1,,,,,,,,,,,,,,,,,,1
9,1,3,hijo/a de ambos,13,hombre,soltero/a,asiste actualmente,secundaria,no,2,si,,,,,,,,,,,,,,si,,3,,2,1,,,,,,,,,,,,,,,,,,1
9,2,3,jefe,42,hombre,unido/a,no asiste pero asistió,primario común,si,6,si,55,0,asalariado público,si,20000,,,,,,,,,si,,3,13,2,1,1,0,5,,2,,1,,,,,,,,,,20000,1
9,3,3,cónyuge,43,mujer,unido/a,no asiste pero asistió,secundaria,no,3,si,60,0,asalariado público,si,20000,,,,,,,,,si,,3,15,2,1,1,0,9,,2,,1,1200,1,5,6,,,,,,,1
9,7,3,hijo/a de ambos,19,mujer,soltero/a,no asiste pero asistió,secundaria,no,3,si,,,,,,,,,,,,,,si,,3,16,2,1,6,,,,2,,,,,,,,,,,,,1
9,8,3,hijo/a de ambos,15,mujer,soltero/a,asiste actualmente,secundaria,no,6,si,,,,,,,,,,,,,,si,,3,,2,1,3,,,,2,,,,,,,,,,,,,1
9,9,3,hijo/a de ambos,8,mujer,soltero/a,asiste actualmente,primario común,no,2,si,,,,,,,,,,,,,,si,,3,,2,1,,,,,,,,,,,,,,,,,,1
9,13,3,hijo/a de ambos,6,mujer,soltero/a,asiste actualmente,preescolar,no,,si,,,,,,,,,,,,,,si,,3,,2,1,,,,,,,,,,,,,,,,,,1
10,1,3,hijo/a de ambos,14,mujer,soltero/a,asiste actualmente,secundaria,no,1,si,,,,,,,,,,,,,,si,,3,,4,9,3,,,,2,,,,,,,,,,,,,1
10,2,3,jefe,46,hombre,casado/a,no asiste pero asistió,primario común,si,6,si,,,,,,,2500,,,,,,,si,,3,13,4,9,4,,,,2,,1,450,1,4,13,,,,,,,1
10,3,3,cónyuge,32,mujer,casado/a,no asiste pero asistió,secundaria,no,2,si,50,0,trab. cuenta propia con local,no,10000,,,,,,,,,si,,3,14,4,9,1,0,5,,2,,1,,,,,,,,,,,1
10,4,3,hijo/a de ambos,10,hombre,soltero/a,asiste actualmente,primario común,no,4,si,,,,,,,,,,,,,,si,,3,,4,9,,,,,,,,,,,,,,,,,,1
10,13,3,hijo/a de ambos,1,hombre,soltero/a,asiste actualmente,preescolar,no,,si,,,,,,,,,,,,,,si,,3,,4,9,,,,,,,,,,,,,,,,,,1
11,1,3,hijo/a sólo del jefe,14,hombre,soltero/a,asiste actualmente,secundaria,no,6,si,,,,,,,,,,,,,,si,,3,,2,1,3,,,,2,,,,,,,,,,,,,1
11,2,3,jefe,41,hombre,casado/a,no asiste pero asistió,primario común,si,6,si,54,0,asalariado público,si,9200,,,,,,,,,si,,1,12,2,1,1,0,9,,2,,,,,,,,,,,,,1
11,3,3,cónyuge,31,mujer,casado/a,no asiste pero asistió,primario común,si,6,si,,,,,,,,,,,,,,si,,1,12,2,1,6,,,,2,,3,2536,1,4,5,,,,,,,1
11,4,3,hijo/a de ambos,12,mujer,soltero/a,asiste actualmente,primario común,no,5,si,,,,,,,,,,,,,,si,,1,,2,1,,,,,,,,,,,,,,,,,,1
11,5,3,hijo/a de ambos,10,hombre,soltero/a,asiste actualmente,primario común,no,3,si,,,,,,,,,,,,,,si,,1,,2,1,,,,,,,,,,,,,,,,,,1
11,6,3,hijo/a de ambos,9,mujer,soltero/a,asiste actualmente,primario común,no,1,si,,,,,,,,,,,,,,si,,1,,2,1,,,,,,,,,,,,,,,,,,1
11,13,3,hijo/a de ambos,4,hombre,soltero/a,nunca asistió,,,,si,,,,,,,,,,,,,,si,,1,,2,1,,,,,,,,,,,,,,,,,,1
11,14,3,hijo/a de ambos,2,hombre,soltero/a,nunca asistió,,,,si,,,,,,,,,,,,,,si,,1,,1,2,,,,,,,,,,,,,,,,,,1
13,1,3,nieto/a,15,mujer,soltero/a,asiste actualmente,secundaria,no,1,si,,,,,,,,,,,,,,si,,3,,1,2,3,,,,2,,,,,,,,,,,,,1
13,2,3,jefe,88,mujer,viudo/a,no asiste pero asistió,secundaria,no,2,si,,,,,,,18600,,,,,7000,,si,,3,30,1,2,4,,,,2,,1,,,,,,,,,,,1
13,3,3,hermano/a,81,mujer,viudo/a,no asiste pero asistió,secundaria,no,4,si,,,,,,,4000,,,,,,,si,,3,20,1,2,5,,,,2,,1,,,,,,,,,,,1
13,4,3,hijo/a sólo del jefe,57,hombre,sep./divorciado/a,no asiste pero asistió,secundaria,si,6,si,,,,,,,,,,,,,,si,,3,22,1,2,2,,,2,2,,1,2500,1,,,,,,,,,1
14,1,3,hijo/a de ambos,14,hombre,soltero/a,asiste actualmente,secundaria,no,1,si,,,,,,,,,,,,,,si,,3,,2,1,3,,,,2,,,,,,,,,,,,,1
14,2,3,jefe,36,hombre,casado/a,no asiste pero asistió,secundaria,no,3,si,40,0,asalariado privado,si,13000,,,,,,,,,si,,3,15,2,1,1,0,9,,2,,1,,,,,,,,,,,1
14,3,3,cónyuge,36,mujer,casado/a,no asiste pero asistió,secundaria,no,2,si,40,0,asalariado privado,si,7000,,,,,,,,,si,,3,15,2,1,1,0,9,,2,,1,2100,1,4,13,,,,,,,1
14,4,3,hijo/a de ambos,9,mujer,soltero/a,asiste actualmente,primario común,no,3,si,,,,,,,,,,,,,,si,,3,,2,1,,,,,,,,,,,,,,,,,,1
14,13,3,hijo/a de ambos,3,hombre,soltero/a,asiste actualmente,preescolar,no,,si,,,,,,,,,,,,,,si,,3,,2,1,,,,,,,,,,,,,,,,,,1
15,1,3,hijo/a sólo del jefe,14,hombre,soltero/a,asiste actualmente,secundaria,no,1,si,,,,,,,,,,,,,,si,,5,,2,1,3,,,,2,,,,,,,,,,,,,1
15,2,3,cónyuge,36,mujer,unido/a,no asiste pero asistió,secundaria,no,3,si,,,,,,,,,,,,,,si,,1,17,1,2,6,,,,1,3,1,,,,,,,,,,,1
15,3,3,jefe,45,hombre,unido/a,no asiste pero asistió,secundaria,no,3,si,72,0,asalariado privado,si,25000,,,,,,,,,si,,3,16,2,1,1,0,8,,2,,1,1200,1,,,,,,,,36000,1
15,13,3,hijo/a de ambos,3,hombre,soltero/a,asiste actualmente,preescolar,no,,si,,,,,,,,,,,,,,si,,5,,2,1,,,,,,,,,,,,,,,,,,1
20,1,3,hijo/a de ambos,13,hombre,soltero/a,asiste actualmente,secundaria,no,1,si,,,,,,,,,,,,,,si,,3,,2,1,,,,,,,,,,,,,,,,,,1
20,2,3,jefe,52,hombre,casado/a,no asiste pero asistió,primario especial,si,3,si,36,0,asalariado público,si,30000,,,,,,,8000,,si,,1,40,2,1,1,0,1,,2,,,,,,,,,,,,999999,1
20,3,3,cónyuge,54,mujer,casado/a,no asiste pero asistió,secundaria,si,6,si,44,0,asalariado público,si,26000,,,,,,,,,si,,3,38,2,1,1,0,1,,2,,,,,,,,,,,,,1
22,1,3,nieto/a,14,hombre,soltero/a,asiste actualmente,secundaria,no,0,si,,,,,,,,,,,,,,si,,3,,1,2,3,,,,2,,,,,,,,,,,,,1
22,3,3,hijo/a de ambos,34,mujer,sep./divorciado/a,no asiste pero asistió,ns/nc,ns/nc,99,si,,,,,,,,,,,,,,si,,3,99,1,2,6,,,,2,,,700,,,,,,,,,,1
22,13,3,jefe,56,mujer,unido/a,asiste actualmente,secundaria,ns/nc,99,si,,,,,,,,,,,,,,si,,3,99,2,2,6,,,,2,,,,,,,,,,,,,1
22,14,3,cónyuge,52,hombre,unido/a,asiste actualmente,secundaria,ns/nc,99,si,44,0,,,999999,,,,,,,,,si,,3,99,2,2,1,0,3,,2,,,,,,,,,,,,,1
23,1,3,hijo/a sólo del jefe,14,mujer,soltero/a,asiste actualmente,primario común,no,6,si,,,,,,,,,,,,,,si,,3,,1,2,3,,,,2,,1,,,,,,,,,,,1
23,3,3,jefe,37,mujer,sep./divorciado/a,no asiste pero asistió,secundaria,no,1,si,24,0,asalariado privado,no,2000,,,,,,,1500,,si,,3,13,1,2,1,0,9,,2,,3,2200,1,7,8,,,,,,,1
23,5,3,hijo/a sólo del jefe,20,mujer,casado/a,no asiste pero asistió,primario común,si,6,si,,,,,,,,,,,,,,si,,3,99,4,9,6,,,,2,,1,,,,,,,,,,,1
23,6,3,hijo/a sólo del jefe,18,hombre,soltero/a,no asiste pero asistió,secundaria,no,1,si,84,0,trab. cuenta propia sin local,no,20000,,,,,,,,,si,,3,13,1,2,1,0,5,,2,,1,,,,,,,,,,,1
23,8,3,hijo/a sólo del jefe,11,hombre,soltero/a,asiste actualmente,primario común,no,3,si,,,,,,,,,,,,,,si,,3,,1,2,,,,,,,4,,,,,,,,,,,1
23,9,3,hijo/a sólo del jefe,9,hombre,soltero/a,asiste actualmente,primario común,no,2,si,,,,,,,,,,,,,,si,,3,,1,2,,,,,,,4,,,,,,,,,,,1
23,13,3,nieto/a,4,mujer,soltero/a,nunca asistió,,,,si,,,,,,,,,,,,,,si,,3,,1,2,,,,,,,5,,,,,,,,,,,1
23,14,3,nieto/a,1,hombre,soltero/a,nunca asistió,,,,si,,,,,,,,,,,,,,si,500,3,,4,9,,,,,,,5,800,,14,,,,,,,,1
23,15,3,yerno/nuera,25,hombre,casado/a,no asiste pero asistió,militar,si,99,si,30,0,asalariado público,si,12000,,,,,,,,,si,,3,99,4,9,1,0,10,,2,,,,,,,,,,,,,1
25,3,3,jefe,37,mujer,sep./divorciado/a,no asiste pero asistió,secundaria,no,1,si,24,0,asalariado privado,no,2000,,,,,,,1500,,si,,3,13,1,2,1,0,9,,2,,3,2200,1,7,8,,,,,,,1
25,5,3,hijo/a sólo del jefe,20,mujer,casado/a,no asiste pero asistió,primario común,si,6,si,,,,,,,,,,,,,,si,,3,99,4,9,6,,,,2,,1,,,,,,,,,,,1
25,6,3,hijo/a sólo del jefe,18,hombre,soltero/a,no asiste pero asistió,secundaria,no,1,si,84,0,trab. cuenta propia sin local,no,20000,,,,,,,,,si,,3,13,1,2,1,0,5,,2,,1,,,,,,,,,,,1
25,7,3,hijo/a sólo del jefe,14,mujer,soltero/a,asiste actualmente,primario común,no,6,si,,,,,,,,,,,,,,si,,3,,1,2,3,,,,2,,1,,,,,,,,,,,1
25,8,3,hijo/a sólo del jefe,11,hombre,soltero/a,asiste actualmente,primario común,no,3,si,,,,,,,,,,,,,,si,,3,,1,2,,,,,,,4,,,,,,,,,,,1
25,9,3,hijo/a sólo del jefe,9,hombre,soltero/a,asiste actualmente,primario común,no,2,si,,,,,,,,,,,,,,si,,3,,1,2,,,,,,,4,,,,,,,,,,,1
25,13,3,nieto/a,4,mujer,soltero/a,nunca asistió,,,,si,,,,,,,,,,,,,,si,,3,,1,2,,,,,,,5,,,,,,,,,,,1
25,14,3,nieto/a,1,hombre,soltero/a,nunca asistió,,,,si,,,,,,,,,,,,,,si,,3,,4,9,,,,,,,5,,,,,,,,,,,1
25,15,3,yerno/nuera,25,hombre,casado/a,no asiste pero asistió,militar,si,99,si,30,0,asalariado público,si,12000,,,,,,,,,si,500,3,99,4,9,1,0,10,,2,,,800,,14,,,,,,,,1
26,1,3,hijo/a sólo del jefe,14,mujer,soltero/a,no asiste pero asistió,secundaria,no,1,no,,,,,,,,,,,,,,si,,3,14,2,1,2,,,0,2,,,,,,,,,,,,,1
